1	99504
2	99560
3	99984
4	92536
5	95202
6	96714
7	101206
8	97552
9	99098
10	95258
11	98326
12	91164
13	96920
14	98142
15	95594
16	95100
17	97612
18	92968
19	98036
20	99698
21	97354
22	98754
23	99342
24	98676
25	101706
26	92130
27	97282
28	103428
29	93634
30	98664
31	101698
32	101086
33	92488
34	100084
35	96456
36	103512
37	98240
38	100202
39	101664
40	99924
41	90586
42	97904
43	101746
44	98260
45	102004
46	93130
47	97990
48	103182
49	98208
50	97346
51	102248
52	93396
53	96658
54	97052
55	94286
56	96370
57	94222
58	96818
59	104600
60	94884
61	102418
62	97424
63	97908
64	94126
65	94702
66	105070
67	94912
68	99444
69	97400
70	102472
71	100144
72	101050
73	95828
74	96100
75	97408
76	103254
77	99692
78	98056
79	96864
80	99844
81	97494
82	97500
83	99546
84	95968
85	103834
86	98308
87	99608
88	102068
89	104486
90	100328
91	102420
92	95638
93	101052
94	94410
95	99440
96	102434
97	97342
98	92096
99	98060
100	100654
101	93442
102	95662
103	100378
104	101386
105	100624
106	100204
107	99616
108	92946
109	94648
110	94180
111	98144
112	97110
113	104608
114	100476
115	98596
116	95392
117	96910
118	91094
119	99560
120	95214
121	96880
122	95628
123	98022
124	102984
125	95952
126	96942
127	90814
128	102932
129	96790
130	103606
131	91372
132	103270
133	101234
134	98188
135	97476
136	96340
137	102422
138	100760
139	101674
140	98956
141	99552
142	98522
143	104972
144	97056
145	95458
146	96480
147	96402
148	102316
149	100224
150	101178
151	98492
152	95382
153	108042
154	94556
155	100114
156	100916
157	107676
158	96400
159	94138
160	102496
161	102980
162	95094
163	99636
164	102050
165	97238
166	103520
167	98788
168	104320
169	96810
170	94484
171	104936
172	95986
173	103932
174	96632
175	99790
176	100934
177	103260
178	100228
179	96302
180	98844
181	100986
182	97470
183	103114
184	100446
185	96078
186	97118
187	107424
188	101154
189	102576
190	93328
191	93988
192	95658
193	91932
194	101470
195	102098
196	95916
197	98902
198	103962
199	102606
200	98972
201	101148
202	100546
203	100298
204	96348
205	104280
206	102152
207	98614
208	96544
209	110674
210	101924
211	102932
212	93116
213	103008
214	100712
215	100736
216	102828
217	100378
218	96866
219	101634
220	103050
221	97722
222	100644
223	96656
224	105748
225	103730
226	100012
227	105916
228	100758
229	100854
230	96688
231	97208
232	94282
233	99816
234	95490
235	99838
236	97156
237	94712
238	101566
239	98612
240	97130
241	102570
242	99354
243	102518
244	107930
245	98214
246	102924
247	101914
248	99826
249	95054
250	98188
251	100288
252	95152
253	100122
254	94602
255	97764
256	103950
257	100556
258	95478
259	98356
260	96930
261	95224
262	102726
263	105622
264	106342
265	101424
266	102344
267	104094
268	99502
269	103034
270	101438
271	91200
272	98628
273	99752
274	102600
275	103974
276	95816
277	101264
278	100090
279	96244
280	90688
281	102398
282	97980
283	100648
284	105960
285	97622
286	99972
287	91214
288	105148
289	94818
290	95964
291	96970
292	98896
293	98414
294	95488
295	100050
296	101250
297	101800
298	95518
299	95232
300	91534
301	93172
