0	92712
1	89426
2	87578
3	85634
4	83896
5	82542
6	80904
7	78696
8	77350
9	76416
10	75684
11	74518
12	73630
13	72436
14	71586
15	71260
16	70336
17	68808
18	68078
19	66932
20	65952
21	65788
22	65282
23	64602
24	63554
25	62536
26	62122
27	61398
28	60954
29	60176
30	59806
31	59098
32	58542
33	57744
34	57088
35	56622
36	56326
37	55992
38	55532
39	55390
40	54896
41	54796
42	54260
43	53814
44	52956
45	52502
46	52460
47	52330
48	52264
49	52136
50	51796
51	51406
52	51190
53	50738
54	50536
55	50444
56	50366
57	50120
114	49980
115	49678
116	49572
117	49038
118	49032
119	48886
120	48290
121	48140
122	48106
123	48090
124	47850
125	47468
126	47042
127	46848
128	46798
129	45936
130	45556
131	45530
132	45516
133	45036
134	44908
135	44204
136	44028
137	43820
138	43636
139	43630
140	43372
141	43314
142	42680
143	42498
144	42480
145	42438
146	42102
147	42098
148	41762
171	41612
174	41576
177	41448
180	41038
183	40950
186	40640
189	40468
191	40106
194	40046
197	39746
200	39398
203	39384
206	39350
209	38860
211	38818
214	38524
228	38436
285	38388
293	37292
301	37282
309	37152
317	37008
325	36710
333	36620
341	36494
342	36168
354	36152
366	36032
378	35998
390	35656
399	35498
415	35378
430	35332
445	35222
513	35104
530	35090
545	35076
560	34814
585	34718
600	34702
741	34600
1197	34582
1240	34414
1254	34314
1269	34212
1284	34130
1299	33920
4332	33900
4342	33624
4389	33558
4446	33532
4456	33438
4466	33190
4476	33174
4487	33160
4489	33136
4500	33110
4525	32838
4550	32832
4575	32636
21945	32458
21946	32286
21947	32278
21948	32162
21949	32106
21950	31960
21951	31940
21952	31920
21953	31790
21954	31708
